mosaic_code,mosaic_name
A01,American Royalty
A02,Platinum Prosperity
A03,Kids and Cabernet
A04,Picture Perfect Families
A05,Couples with Clout
A06,Jet Set Urbanites
B07,Across the Ages
B08,Babies and Bliss
B09,Family Fun-tastic
B10,Cosmopolitan Achievers
C11,Sophisticated City Dweller
C12,Golf Carts and Gourmets
C13,Philanthropic Sophisticates
C14,Boomers and Boomerangs
D15,Sport Utility Families
D16,Settled in Suburbia
D17,Cul de Sac Diversity
D18,Suburban Nightlife
E19,Consummate Consumers
E20,No Place Like Home
E21,Unspoiled Splendor
F22,Fast Track Couples
F23,Families Matter Most
G24,Ambitious Singles
G25,Urban Edge
H26,Progressive Assortment
H27,Life of Leisure
H28,Everyday Moderates
H29,Destination Recreation
I30,Potlucks and the Great Outdoors
I31,Hard Working Values
I32,Steadfast Conventionalists
I33,Balance and Harmony
J34,Suburban Sophisticates
J35,Rural Escape
J36,Settled and Sensible
K37,Wired for Success
K38,Modern Blend
K39,Metro Fusion
K40,Bohemian Groove
L41,Booming and Consuming
L42,Rooted Flower Power
L43,Homemade Happiness
M44,Creative Comfort
M45,Growing and Expanding
N46,True Grit Americans
N47,Countrified Pragmatics
N48,Rural Southern Bliss
N49,Touch of Tradition
O50,Full Steam Ahead
O51,Digitally Savvy
O52,Urban Ambition
O53,Colleges and Cafes
O54,Influenced by Influencers
O55,Family Troopers
P56,Mid-Scale Medley
P57,Modest Metro Means
P58,Heritage Heights
P59,Expanding Horizons
P60,Striving Forward
P61,Simple Beginnings
Q62,Enjoying Retirement
Q63,Footloose and Family Free
Q64,Established in Society
Q65,Mature and Wise
R66,Ambitious Dreamers
R67,Passionate Parents
S68,Small Town Sophisticates
S69,Urban Legacies
S70,Thrifty Singles
S71,Modest Retirees
